match_id,pitch,players_a,players_b,true_team_a_strength,true_team_b_strength,true_probability_a,goals_a,goals_b
287,hf,"35,1,41,5,14,43","46,44,28,7,42,48",1549.065,1349.878,0.758891,13,5
288,box,"28,42,5,44,10,2","30,22,3,6,46,4",1562.432,1603.087,0.441758,12,8
289,hf,"27,25,29,41,26,28","21,2,47,8,35,1",1501.012,1587.153,0.378511,5,6
290,box,"38,3,45,5,23,33","7,19,20,39,6,41",1539.435,1553.177,0.480234,8,10
291,hf,"35,15,9,26,48,19","41,10,20,24,1,36",1484.737,1578.825,0.367812,7,10
292,box,"37,39,26,35,36,6","20,14,23,41,27,33",1478.428,1523.042,0.436147,10,5
293,box,"43,37,4,36,30,42","45,5,19,41,17,7",1454.083,1531.833,0.38994,4,10
294,hf,"43,42,16,7,19,40","5,13,21,32,29,22",1478.052,1584.143,0.351897,9,11
295,box,"37,48,24,21,28,11","1,45,16,15,44,18",1466.193,1528.922,0.410695,2,10
296,hf,"23,20,32,36,7,12","42,39,6,18,9,35",1565.347,1520.36,0.564382,6,5
297,hf,"2,33,41,48,38,44","26,43,14,3,36,17",1400.337,1549.055,0.298157,7,13
298,box,"10,24,26,15,38,19","9,30,33,40,6,46",1561.808,1485.675,0.607844,10,6
299,hf,"40,44,11,33,9,29","46,12,37,48,10,31",1490.975,1410.062,0.614383,14,8
300,hf,"15,5,17,24,48,3","14,34,45,25,31,30",1568.867,1469.53,0.639185,14,8
301,hf,"7,46,34,41,18,17","38,35,37,12,25,42",1484.987,1457.958,0.538819,8,5
302,box,"25,15,34,26,23,44","32,31,39,1,33,9",1497.087,1564.133,0.404692,6,10
303,box,"11,24,39,8,43,15","27,22,45,31,46,38",1529.737,1401.763,0.676268,14,9
304,box,"3,9,37,38,11,47","41,33,48,46,10,4",1513.422,1428.718,0.619539,10,5
305,box,"37,41,2,43,19,6","14,29,39,31,40,11",1529.885,1501.627,0.540578,11,8
306,box,"40,43,33,17,11,22","30,39,38,5,15,25",1489.543,1526.55,0.446944,13,10
307,hf,"27,10,39,7,12,31","40,46,3,35,33,8",1567.135,1498.757,0.597153,11,6
308,box,"1,44,42,28,34,27","24,3,47,45,15,31",1499.498,1469.065,0.543685,4,5
309,box,"45,37,7,28,9,17","31,15,6,19,35,27",1522.962,1558.408,0.449164,10,6
310,hf,"34,1,25,42,14,21","27,24,7,10,28,17",1571.545,1600.122,0.458967,7,6
311,box,"44,26,14,27,36,48","31,12,24,43,39,42",1405.417,1445.31,0.44284,10,9
312,hf,"43,8,15,29,11,7","14,33,26,22,36,4",1575.815,1571.953,0.505557,9,7
313,box,"10,31,39,28,6,5","17,15,24,44,3,25",1583.4,1571.303,0.517401,5,6
314,box,"4,12,41,32,29,1","13,34,19,42,3,33",1610.727,1554.385,0.580379,10,6
315,hf,"1,11,6,18,26,23","44,42,38,13,34,48",1656.273,1357.203,0.848333,14,7
316,hf,"19,47,36,38,23,44","18,15,39,13,30,26",1388.995,1537.793,0.29806,9,13
317,hf,"7,36,5,33,19,22","8,45,17,35,37,40",1582.835,1447.813,0.685087,12,6
318,hf,"16,22,30,44,46,38","2,31,8,17,5,25",1422.38,1649.445,0.212974,7,16
319,hf,"15,21,27,23,34,35","1,17,16,19,6,26",1529.723,1653.242,0.329372,6,10
320,hf,"12,31,21,23,14,37","18,48,13,32,40,16",1548.565,1453.495,0.633501,10,6
321,hf,"13,16,40,23,10,7","8,6,32,1,35,3",1588.407,1670.87,0.383505,8,10
322,hf,"37,18,32,12,33,47","26,15,48,9,4,34",1447.31,1525.958,0.38871,7,8
323,box,"33,23,26,44,12,30","8,34,43,21,1,38",1492.988,1548.065,0.421396,7,10
324,box,"12,36,17,16,18,31","40,22,24,48,32,28",1555.107,1427.287,0.676075,7,4
325,box,"18,29,12,37,9,45","15,7,48,16,36,28",1507.505,1489.638,0.52569,3,10
326,hf,"1,12,27,32,9,41","34,35,21,45,20,17",1593.098,1478.212,0.659562,8,6
327,hf,"45,11,4,14,17,31","41,7,29,22,44,24",1563.542,1494.897,0.597522,8,5
328,box,"27,8,23,44,39,13","37,42,35,12,19,46",1508.682,1432.312,0.608169,10,6
329,box,"6,25,40,19,30,41","10,11,22,27,37,26",1505.545,1561.2,0.420584,7,10
330,box,"19,46,18,39,42,26","47,29,24,38,34,41",1438.732,1397.665,0.558826,10,6
331,box,"48,45,6,14,11,26","7,42,5,31,36,4",1466.955,1579.082,0.344015,8,10
332,hf,"17,40,10,6,42,25","20,15,16,19,29,9",1535.405,1599.292,0.409082,13,8
333,hf,"21,31,30,35,18,36","29,9,45,12,38,46",1497.127,1442.718,0.577666,6,7
334,box,"41,35,20,23,31,47","15,6,29,46,24,27",1418.07,1523.375,0.35293,6,9
335,hf,"9,23,19,31,35,1","32,45,20,43,28,46",1605.225,1383.095,0.782226,11,5
336,box,"13,27,36,28,26,16","11,25,41,15,17,6",1540.733,1578.638,0.445666,4,2
337,box,"44,18,19,42,35,47","27,13,5,12,9,46",1383.1,1568.57,0.25585,7,10
338,box,"32,13,21,2,10,4","35,45,12,7,19,18",1668.172,1527.427,0.692151,10,6
339,hf,"1,32,14,22,27,20","47,24,30,3,45,6",1613.282,1485.615,0.675881,11,7
340,box,"26,5,35,31,12,13","17,25,1,8,16,41",1571.845,1612.227,0.442146,5,10
341,box,"7,34,43,14,31,25","20,21,11,3,36,47",1516.667,1529.682,0.481279,10,8
342,box,"43,14,8,16,41,28","21,1,11,18,38,46",1512.557,1552.7,0.442485,10,5
343,box,"45,39,10,24,6,16","11,32,44,22,4,38",1524.855,1528.913,0.49416,10,6
344,box,"21,36,42,23,29,13","2,25,45,9,17,3",1506.595,1623.082,0.338373,7,10
345,box,"13,37,12,35,23,21","30,18,39,36,11,5",1539.623,1543.545,0.494357,4,10
346,box,"41,33,25,12,2,40","24,43,16,21,5,35",1535.355,1531.792,0.505128,3,10
347,hf,"19,21,27,42,47,8","7,34,5,3,9,12",1469.462,1675.687,0.233773,9,15
348,hf,"7,3,37,42,25,43","32,34,40,38,17,4",1518.802,1515.882,0.504202,14,9
349,box,"14,42,32,6,30,41","4,24,36,27,43,47",1496.418,1449.325,0.567361,6,10
350,box,"14,34,7,46,15,35","25,13,41,47,16,37",1506.125,1438.678,0.595862,4,10
351,hf,"41,37,23,44,30,43","28,7,11,12,36,26",1390.962,1578.96,0.253089,5,9
352,box,"39,29,23,21,36,45","24,27,28,43,16,37",1446.453,1486.227,0.44301,5,10
353,box,"29,48,26,1,3,19","39,2,34,9,20,45",1570.955,1529.402,0.559517,8,6
354,box,"45,18,36,33,46,37","43,10,7,3,30,23",1386.093,1591.578,0.234537,10,15
355,hf,"17,20,6,37,26,45","14,5,21,31,12,32",1508.028,1588.358,0.386413,5,7
356,box,"7,39,42,20,3,37","25,6,4,22,23,28",1541.925,1621.947,0.386834,3,10
357,hf,"42,39,1,41,45,25","4,20,34,3,21,35",1451.802,1616.493,0.279279,10,13
358,box,"10,4,44,26,29,39","37,33,6,15,28,19",1527.35,1553.687,0.462171,8,10
359,hf,"36,26,17,6,47,33","28,9,41,31,48,13",1472.112,1455.055,0.524527,12,10
360,box,"48,34,16,46,5,18","28,21,37,6,8,27",1443.478,1573.208,0.321522,7,10
361,box,"2,20,11,23,40,29","44,10,43,3,15,13",1588.065,1548.325,0.556942,5,10
362,hf,"16,40,10,19,1,22","8,20,29,31,2,43",1612.883,1566.588,0.566232,12,9
363,box,"17,36,31,40,10,43","2,25,38,34,3,48",1466.825,1527.338,0.413784,10,3
364,hf,"42,1,5,25,43,18","24,7,2,19,45,15",1561.258,1590.065,0.458639,3,4
365,hf,"32,39,35,6,12,13","33,30,36,2,3,16",1542.23,1613.397,0.398992,9,11
366,hf,"48,11,2,23,44,45","43,41,20,16,33,18",1435.787,1482.055,0.433805,4,9
367,box,"2,36,18,15,10,22","26,9,6,25,34,45",1619.328,1524.877,0.632674,10,5
368,box,"39,22,29,35,9,14","42,44,38,45,13,41",1533.942,1364.213,0.726519,10,4
369,hf,"10,42,37,11,21,5","36,35,8,12,44,48",1562.343,1415.073,0.700096,8,3
370,hf,"27,48,20,29,41,18","10,13,7,9,12,2",1439.73,1694.613,0.187365,6,11
371,hf,"37,40,15,39,46,44","2,23,6,31,9,33",1369.665,1627.987,0.18437,8,11
372,hf,"12,25,32,31,9,11","13,15,3,27,1,18",1580.135,1680.893,0.35893,10,14
373,hf,"13,14,5,12,29,40","32,21,30,16,28,26",1580.69,1535.492,0.564681,4,7
374,hf,"26,40,37,39,35,34","42,3,43,7,29,30",1426.072,1526.625,0.359202,9,19
375,box,"34,35,26,3,36,25","48,41,4,13,19,29",1537.923,1491.203,0.566833,10,4
376,hf,"40,4,45,34,10,30","42,29,6,33,8,12",1498.315,1559.15,0.413335,6,8
377,hf,"27,21,29,2,12,30","38,13,43,6,17,47",1599.21,1451.447,0.700692,12,5
378,box,"46,47,8,6,48,29","41,24,45,34,25,33",1379.635,1436.31,0.419154,6,10
379,box,"22,37,43,10,11,45","12,4,27,20,39,29",1466.62,1575.437,0.348327,10,15
380,box,"1,40,17,48,30,32","43,35,45,39,42,16",1477.202,1374.048,0.644236,10,4
381,hf,"39,48,1,16,36,18","40,41,44,14,4,12",1490.803,1504.197,0.480735,13,8
382,hf,"43,37,39,20,22,6","4,7,27,12,11,19",1488.745,1653.307,0.27943,4,8
383,hf,"36,12,30,38,24,3","6,20,21,44,25,5",1557.277,1569.533,0.482369,8,11
384,hf,"8,45,18,22,34,27","44,14,41,4,7,37",1509.883,1524.858,0.478463,7,11
385,hf,"45,39,46,19,28,47","21,17,34,37,23,9",1336.488,1548.735,0.227622,7,9
386,hf,"32,48,12,40,15,19","13,1,8,2,30,45",1455.345,1624.495,0.274142,10,15
387,hf,"27,48,3,22,23,36","41,14,1,13,19,17",1499.345,1611.59,0.343861,9,12
388,box,"21,1,8,44,22,45","26,37,40,2,12,13",1533.463,1566.4,0.452742,3,2
389,hf,"42,9,31,10,41,30","35,22,43,27,4,34",1500.088,1512.528,0.482105,10,9
390,hf,"14,37,44,22,23,5","10,18,2,45,25,35",1527.175,1550.893,0.46592,9,10
391,box,"20,46,21,3,18,27","6,32,16,24,29,48",1556.263,1490.067,0.594128,13,8
392,box,"6,29,33,2,31,46","10,13,22,44,34,20",1539.972,1529.477,0.515099,3,6
393,hf,"44,9,14,3,30,25","34,8,1,20,45,6",1574.005,1590.302,0.476564,13,9
394,hf,"48,20,2,37,47,41","14,21,13,40,19,18",1391.787,1560.618,0.274507,4,9
395,box,"18,10,11,48,8,1","40,36,33,7,14,35",1591.733,1501.317,0.62726,10,7
396,hf,"19,37,16,11,5,20","40,22,35,29,4,9",1595.935,1559.39,0.552399,12,8
397,hf,"6,28,26,12,39,38","41,29,40,23,20,22",1530.547,1490.87,0.556852,5,6
398,hf,"30,37,9,6,48,7","44,20,42,31,15,38",1508.423,1445.952,0.588947,11,9
399,box,"12,45,43,22,21,30","32,2,5,31,8,23",1461.312,1632.65,0.271643,5,10
400,box,"37,9,33,7,26,45","21,36,5,20,35,30",1503.538,1538.202,0.45028,5,4
401,hf,"25,5,22,14,38,28","43,37,46,35,16,12",1568.073,1426.457,0.693219,17,9
402,hf,"37,32,8,38,39,30","21,36,7,29,12,20",1472.625,1573.408,0.358897,7,11
403,hf,"39,25,21,32,42,43","4,6,14,9,38,1",1433.375,1684.018,0.191109,5,10
404,hf,"19,25,40,37,29,13","14,21,20,45,46,28",1506.228,1457.43,0.569768,7,12
405,box,"40,33,26,9,19,4","24,36,43,1,41,23",1573.4,1510.332,0.589779,10,6
406,box,"41,21,46,25,26,45","28,35,14,12,31,9",1405.562,1563.032,0.287723,9,11
407,hf,"10,19,43,9,45,1","5,2,48,32,28,44",1553.742,1485.77,0.59659,9,8
408,box,"45,39,28,40,12,30","33,46,36,29,25,23",1432.94,1456.013,0.466844,10,6
409,box,"46,33,18,27,35,37","24,3,41,43,31,42",1439.95,1474.613,0.45028,10,5
410,hf,"18,30,34,6,46,40","45,16,31,5,35,20",1467.277,1508.745,0.440604,7,9
411,hf,"30,33,31,37,22,27","23,19,41,11,3,20",1492.35,1598.078,0.352374,7,10
412,box,"31,38,11,37,4,43","19,40,2,42,32,6",1504.147,1552.088,0.431441,10,5
413,hf,"18,17,1,8,39,12","38,10,29,24,43,47",1628.788,1421.365,0.76746,13,8
414,hf,"34,3,22,6,10,39","44,32,27,25,16,29",1605.387,1490.823,0.659143,14,9
415,hf,"23,4,42,17,8,47","11,30,26,31,20,39",1514.438,1520.12,0.491824,7,8
416,hf,"46,25,31,17,10,34","28,1,19,29,47,21",1494.248,1532.275,0.445493,8,14
417,hf,"41,23,28,40,42,18","22,43,48,7,17,26",1453.652,1458.875,0.492484,11,10
418,box,"13,34,22,44,12,21","36,1,41,5,40,27",1522.007,1544.383,0.467842,10,6
419,hf,"13,3,2,40,6,4","39,14,42,8,45,44",1696.97,1417.067,0.833585,17,9
420,hf,"42,37,12,8,46,17","19,30,5,41,18,28",1477.022,1545.742,0.402374,5,8
421,box,"5,18,4,25,45,22","46,17,41,12,29,48",1577.882,1394.412,0.741952,12,5
422,box,"32,7,10,35,28,14","40,47,29,17,41,3",1572.78,1458.89,0.658272,10,5
423,box,"32,10,42,41,1,3","25,18,47,22,26,37",1592.515,1457.925,0.68455,10,3
424,box,"26,47,5,35,15,1","25,31,8,37,45,23",1547.33,1484.395,0.589593,15,8
425,box,"24,35,22,6,30,19","42,13,12,36,3,25",1558.042,1566.707,0.487533,7,10
426,hf,"32,6,41,29,13,9","3,44,2,38,16,48",1559.917,1504.038,0.579729,6,5
427,hf,"29,2,3,22,4,45","46,26,8,14,34,30",1633.57,1499.1,0.684401,11,5
428,hf,"48,38,15,5,3,10","32,2,31,44,16,9",1553.437,1560.303,0.490119,9,5
429,hf,"7,30,40,11,38,5","48,8,32,39,15,43",1555.197,1416.95,0.689078,10,9
430,box,"48,44,26,21,8,37","35,9,45,14,3,12",1421.328,1571.083,0.296909,7,12
431,box,"45,24,36,11,29,16","38,3,9,7,25,48",1496.563,1540.598,0.436966,10,6
432,box,"42,38,19,27,31,9","14,10,18,34,29,45",1503.065,1513.207,0.485409,10,3
433,hf,"40,6,41,20,23,27","1,36,16,13,8,34",1516.04,1613.418,0.363419,4,5
434,hf,"35,33,15,30,41,43","14,18,4,13,8,10",1438.468,1667.16,0.211409,7,15
435,hf,"12,11,43,3,4,42","24,19,14,28,17,22",1590.967,1580.003,0.515772,7,8
436,hf,"4,35,12,11,2,32","33,8,5,16,29,21",1641.488,1599.932,0.559521,9,6
437,box,"8,21,15,7,16,27","13,25,46,5,31,32",1620.708,1512.23,0.65123,10,7
438,box,"12,25,24,9,30,13","41,23,18,43,22,45",1590.175,1429.497,0.716047,10,5
439,hf,"30,48,27,11,22,15","19,39,45,40,37,36",1486.948,1393.783,0.630951,15,9
440,hf,"32,14,38,31,30,18","1,28,16,40,21,41",1510.395,1550.132,0.443062,6,7
441,hf,"37,1,27,3,45,31","33,44,28,34,26,43",1559.83,1423.202,0.687078,10,6
442,box,"32,16,6,36,1,27","14,9,23,19,47,46",1604.783,1461.36,0.695426,10,5
443,box,"37,38,2,30,45,9","26,12,24,44,1,5",1506.647,1601.153,0.367252,4,10
444,hf,"18,45,40,35,37,14","6,46,22,4,33,24",1436.388,1556.02,0.334332,8,13
445,box,"40,3,24,46,12,42","36,5,43,14,9,22",1488.687,1551.688,0.410314,10,7
446,box,"45,14,15,21,23,18","33,28,43,4,5,24",1532.277,1564.637,0.453564,10,6
447,hf,"44,35,19,29,40,24","5,13,30,6,39,26",1451.942,1577.09,0.327302,12,15
448,hf,"7,11,18,8,10,32","44,14,34,2,19,27",1631.393,1552.7,0.611351,9,7
449,box,"23,27,29,42,2,19","13,5,44,15,34,22",1564.505,1543.902,0.529616,10,5
450,box,"45,34,36,29,30,20","37,9,43,11,17,15",1447.2,1538.763,0.371198,5,11
451,box,"23,19,30,11,40,45","35,47,12,44,10,43",1477.902,1394.715,0.617479,10,6
452,hf,"17,24,12,14,36,3","21,23,10,47,29,35",1613.572,1476.268,0.687913,10,7
453,box,"2,26,32,10,30,21","45,1,35,33,22,19",1599.432,1528.113,0.601218,13,11
454,box,"37,43,10,48,29,22","8,31,3,9,36,42",1417.888,1573.74,0.289636,8,10
455,hf,"6,21,4,39,42,13","38,34,15,18,43,2",1571.738,1532.167,0.556703,3,2
456,hf,"33,26,13,32,21,39","43,48,4,24,47,10",1512.493,1413.412,0.638846,9,8
457,hf,"1,19,23,46,20,29","36,6,14,43,27,39",1558.32,1490.41,0.596504,12,7
458,hf,"27,9,38,39,6,10","14,20,31,34,22,5",1562.288,1576.282,0.479873,7,8
459,box,"41,18,27,12,36,30","37,9,13,45,25,19",1501.355,1511.432,0.485503,3,10
460,box,"36,30,15,2,1,10","17,20,31,8,19,27",1653.285,1579.073,0.605204,10,4
461,hf,"18,32,5,39,24,38","31,37,28,17,42,8",1524.677,1505.355,0.527777,10,7
462,hf,"38,4,10,21,30,9","23,11,47,18,24,27",1603.833,1501.285,0.643438,11,7
463,box,"19,34,41,5,33,13","46,12,7,39,11,35",1538.732,1501.32,0.553633,10,3
464,box,"45,48,24,7,35,38","23,10,1,9,34,19",1396.715,1642.16,0.195778,6,11
465,box,"7,14,10,33,15,13","36,40,34,35,42,8",1619.655,1446.193,0.730769,10,5
466,box,"2,31,23,20,24,9","29,39,34,22,12,45",1622.31,1463.168,0.714245,10,5
467,hf,"10,45,15,20,9,14","44,6,28,8,5,2",1565.933,1627.632,0.412131,7,10
468,hf,"43,33,38,4,31,8","17,3,5,20,1,7",1521.703,1724.6,0.237223,6,12
469,hf,"13,12,43,23,2,6","10,18,38,45,39,11",1610.6,1485.767,0.672298,8,4
470,hf,"33,37,5,7,38,1","34,14,13,19,11,35",1600.72,1563.508,0.553348,11,5
471,box,"46,31,24,45,38,12","29,7,43,23,25,28",1417.387,1524.448,0.350624,7,10
472,box,"8,30,48,34,9,32","24,19,36,3,6,21",1476.147,1616.982,0.307739,7,10
473,box,"44,29,15,36,27,19","28,13,5,31,24,12",1488.178,1594.275,0.35189,3,10
474,box,"34,43,44,6,8,10","26,42,38,7,11,5",1510.802,1559.693,0.4301,13,10
475,hf,"15,28,32,18,38,44","45,26,23,31,41,46",1478.972,1392.218,0.622317,13,9
476,hf,"8,17,32,46,15,41","9,2,7,4,5,45",1488.612,1665.305,0.265587,7,14
477,box,"44,21,10,20,40,48","7,5,34,32,30,13",1419.292,1581.115,0.282614,6,10
478,box,"35,48,2,3,28,8","25,29,21,42,41,30",1566.177,1468.453,0.63704,13,9
479,hf,"46,11,32,28,9,20","25,48,8,37,41,36",1523.265,1411.81,0.655112,7,6
480,box,"11,33,4,26,17,32","38,25,40,23,19,21",1591.307,1506.612,0.619528,10,5
481,box,"48,38,2,41,22,25","7,28,23,40,27,39",1464.177,1511.2,0.432738,10,8
482,hf,"45,5,20,8,22,11","2,35,21,3,30,28",1575.118,1618.555,0.437813,10,12
483,hf,"38,2,21,25,37,45","46,44,7,32,40,14",1500.177,1438.485,0.58786,8,5
484,hf,"40,20,24,28,13,32","41,5,35,14,19,17",1523.182,1553.298,0.456767,9,8
485,box,"48,6,46,38,7,45","22,18,5,37,34,31",1383.785,1540.218,0.288947,7,11
486,hf,"33,20,28,43,35,21","13,27,26,17,48,30",1480.09,1472.827,0.510451,5,8
487,box,"34,12,37,32,14,43","30,18,35,28,46,4",1480.135,1507.23,0.461086,7,10
488,box,"20,28,27,21,5,41","14,46,18,19,11,17",1551.225,1544.26,0.510022,7,10
489,box,"20,30,32,36,28,44","42,3,13,11,18,9",1459.99,1621.338,0.283169,4,10
490,hf,"42,3,32,2,4,6","21,39,20,5,27,24",1669.252,1562.59,0.648851,11,6
491,hf,"47,9,16,8,37,33","45,34,38,41,17,32",1492.78,1417.208,0.607073,11,8
492,box,"21,22,38,25,16,28","14,10,7,12,42,18",1539.888,1593.163,0.423926,5,10
493,hf,"8,21,35,28,31,16","18,10,24,44,40,20",1551.825,1504.767,0.567311,6,5
494,hf,"43,4,45,48,16,17","36,25,20,24,8,35",1428.568,1538.957,0.346277,5,10
495,box,"26,17,20,6,16,46","14,11,29,21,27,3",1540.122,1624.643,0.380708,8,13
496,box,"48,27,22,28,7,11","17,33,5,23,47,36",1509.77,1481.912,0.540006,6,10
497,box,"41,29,42,9,1,26","13,48,20,21,37,6",1549.163,1494.853,0.577528,10,3
498,hf,"9,39,44,27,21,29","31,48,17,12,38,46",1491.802,1397.383,0.63263,13,9
499,box,"12,26,25,37,15,2","43,36,40,44,6,30",1597.008,1417.51,0.73755,10,5
500,hf,"28,39,17,10,6,24","11,37,8,1,34,48",1575.207,1525.405,0.571184,5,8
501,hf,"15,46,14,13,18,19","32,25,9,28,47,38",1541.722,1456.258,0.62057,12,10
502,hf,"27,12,48,10,2,19","17,16,40,29,41,24",1556.482,1498.092,0.583248,12,8
503,box,"21,45,26,44,14,25","28,39,17,5,7,36",1460.76,1560.538,0.360229,7,10
504,hf,"39,43,48,3,1,17","33,40,25,20,26,24",1507.658,1510.945,0.49527,9,7
505,box,"11,33,32,22,30,9","6,21,34,28,10,17",1558.923,1590.845,0.45419,13,9
506,box,"48,24,28,19,17,40","44,34,21,46,11,43",1449.845,1406.797,0.561636,5,9
507,hf,"41,29,4,13,10,46","15,12,3,31,17,11",1528.48,1636.952,0.348778,10,11
508,hf,"32,3,29,23,36,48","30,43,8,10,40,45",1481.03,1448.6,0.546535,10,8
509,box,"33,18,37,43,38,14","44,1,34,46,12,27",1463.163,1495.898,0.453029,6,10
510,box,"19,44,47,8,26,24","38,7,21,10,2,6",1455.205,1652.44,0.24317,4,10
511,box,"18,39,43,1,22,3","42,40,29,21,37,9",1591.323,1478.082,0.657432,13,7
512,box,"4,5,36,39,25,6","26,17,12,16,42,43",1598.67,1497.345,0.64182,12,8
513,hf,"42,48,10,8,20,32","28,44,39,9,23,7",1470.068,1521.027,0.427186,7,8
514,box,"31,18,37,39,28,6","44,24,40,12,42,38",1515.673,1424.362,0.628464,10,6
515,box,"42,44,46,10,32,34","41,43,6,19,30,28",1401.617,1489.82,0.375724,4,7
516,box,"44,20,16,34,28,19","37,4,36,5,3,33",1505.633,1613.077,0.350124,6,10
517,hf,"37,17,23,47,38,6","33,2,8,30,12,44",1462.72,1565.663,0.356041,8,13
518,box,"46,20,21,38,30,43","29,40,17,22,12,14",1423.065,1549.802,0.325292,3,7
519,hf,"7,28,35,2,1,26","8,44,11,31,30,43",1654.523,1474.627,0.737994,13,6
520,box,"32,20,40,46,24,26","47,6,9,45,1,13",1453.977,1535.612,0.384633,7,14
521,box,"14,31,42,10,46,16","28,41,35,13,6,20",1487.315,1537.503,0.428271,6,7
522,box,"48,45,29,32,31,2","46,38,16,13,19,37",1434.557,1472.372,0.445794,7,9
523,hf,"28,27,32,38,39,36","19,3,46,26,40,33",1456.458,1500.13,0.43748,4,5
524,box,"32,15,46,4,34,2","28,37,21,36,5,18",1568.707,1542.393,0.537796,6,7
525,hf,"23,29,45,28,2,11","19,13,31,48,47,15",1555.683,1411.608,0.69622,7,5
526,box,"39,46,43,30,9,19","25,27,24,31,11,14",1437.157,1567.875,0.320282,3,10
527,box,"13,11,39,32,7,27","45,20,16,14,36,4",1562.857,1543.378,0.528002,9,10
528,box,"33,3,5,22,28,8","40,15,43,36,41,32",1639.898,1415.17,0.784763,13,8
529,hf,"36,18,10,45,33,39","7,4,29,30,8,42",1459.328,1588.39,0.322362,4,5
530,hf,"7,36,3,33,48,11","41,8,14,24,43,19",1527.115,1515.558,0.516625,7,8
531,hf,"10,42,24,22,9,8","13,29,27,1,16,31",1585.142,1607.503,0.467863,11,8
532,hf,"27,24,41,43,16,10","34,48,15,9,28,46",1500.467,1425.722,0.605937,11,4
533,hf,"34,44,24,2,29,10","1,48,5,6,22,21",1553.613,1590.003,0.447821,9,8
534,hf,"3,43,42,10,37,4","41,34,19,27,26,36",1555.433,1479.907,0.607011,7,5
535,hf,"23,1,18,34,40,10","26,29,14,35,41,48",1587.545,1418.732,0.725472,10,5
536,box,"13,20,6,3,35,22","25,9,34,44,19,14",1627.033,1527.797,0.639052,6,5
537,hf,"11,2,47,35,38,17","16,20,28,33,8,4",1504.602,1615.528,0.345575,9,12
538,hf,"8,4,42,48,29,20","37,1,30,22,16,46",1498.457,1526.735,0.459394,4,5
539,hf,"15,23,20,19,43,37","9,25,34,16,7,21",1506.823,1597.47,0.37243,10,14
540,box,"30,7,10,28,27,6","43,4,45,9,31,14",1605.05,1514.978,0.626796,10,8
541,box,"34,26,17,38,32,41","28,29,44,27,11,10",1469.708,1527.122,0.41812,7,10
542,box,"34,8,45,14,30,31","3,11,36,24,47,27",1492.37,1518.015,0.463161,10,8
543,box,"20,24,48,19,32,2","10,42,38,27,4,46",1522.51,1491.117,0.545056,4,10
544,hf,"23,5,3,27,31,37","20,43,29,22,25,44",1592.963,1460.973,0.681309,10,6
545,box,"9,33,41,30,29,43","44,10,21,6,27,25",1464.888,1550.083,0.379794,8,9
546,box,"29,18,42,6,11,2","37,41,20,36,8,39",1608.775,1470.793,0.688751,11,5
547,hf,"37,34,13,31,33,2","8,35,12,43,18,14",1549.76,1540.398,0.513469,9,6
548,box,"35,39,21,26,38,3","32,2,22,28,12,27",1526.768,1599.36,0.397026,6,10
549,box,"7,35,11,19,10,12","17,6,44,20,27,46",1613.557,1482.227,0.680484,11,6
550,box,"20,25,7,21,10,27","45,17,47,8,4,13",1604.082,1504.8,0.639112,10,5
551,box,"33,25,8,18,4,21","30,36,27,5,31,2",1614.915,1582.957,0.545862,8,5
552,hf,"44,7,16,36,42,9","20,37,27,29,6,33",1501.458,1537.652,0.448101,12,11
553,hf,"16,35,28,36,29,3","1,30,40,19,11,42",1556.48,1549.738,0.509701,10,9
554,box,"44,25,23,41,14,38","33,19,3,11,35,37",1458.622,1565.888,0.350356,8,13
555,hf,"47,36,18,28,14,40","33,21,22,17,29,46",1435.568,1492.0,0.419495,10,9
556,hf,"39,22,2,45,9,42","1,48,31,43,41,12",1505.95,1448.228,0.582312,5,4
557,box,"35,6,42,46,5,48","2,29,8,23,25,39",1411.747,1591.452,0.262219,3,9
558,hf,"8,30,24,13,29,1","15,2,18,23,45,6",1626.817,1591.172,0.551118,6,8
559,hf,"32,24,3,18,48,39","14,1,13,26,8,45",1486.818,1594.908,0.349278,7,8
560,box,"43,37,44,46,39,47","12,5,38,9,41,45",1271.373,1502.313,0.209259,5,10
561,hf,"18,13,44,2,46,35","40,17,36,30,1,28",1493.525,1544.503,0.427158,9,16
562,hf,"28,27,18,8,44,34","30,32,24,43,3,15",1509.773,1543.767,0.451235,8,7
563,box,"26,13,22,6,37,2","15,28,5,16,47,11",1615.552,1538.8,0.608692,12,7
564,hf,"28,2,38,41,22,17","16,7,31,42,44,4",1549.823,1532.22,0.525312,8,9
565,box,"39,40,29,7,41,46","38,8,6,4,3,25",1418.252,1664.982,0.194616,5,11
566,box,"29,4,20,40,41,28","5,7,47,36,45,19",1522.937,1459.933,0.589688,5,6
567,box,"43,40,1,30,25,45","28,47,41,7,22,2",1461.203,1517.123,0.420212,7,10
568,box,"5,38,13,37,9,41","33,17,23,27,31,29",1532.167,1528.863,0.504754,10,6
569,box,"33,42,23,20,38,35","10,47,31,45,22,19",1465.65,1438.092,0.539577,10,4
570,hf,"33,36,4,28,23,13","43,41,42,5,22,40",1570.515,1436.367,0.684001,4,2
571,box,"39,45,22,38,37,46","40,20,27,43,11,7",1363.692,1518.698,0.290637,5,10
572,box,"1,41,15,45,46,30","40,14,16,31,22,25",1458.858,1531.59,0.396833,12,16
573,box,"5,23,2,36,8,10","19,29,13,38,24,3",1654.058,1589.54,0.591797,7,10
